jobs,salary_in_usd,experience_level,employment_type,work_setting,company_location,company_size
Data Engineering,154000,Senior,Full-time,Remote,United States,M
Data Engineering,126000,Senior,Full-time,Remote,United States,M
Machine Learning and AI,240000,Senior,Full-time,In-person,United States,M
Machine Learning and AI,157250,Senior,Full-time,In-person,United States,M
Data Engineering,219650,Executive,Full-time,Remote,United States,M
Data Engineering,136000,Executive,Full-time,Remote,United States,M
Machine Learning and AI,180000,Mid-level,Full-time,Remote,United States,M
Machine Learning and AI,125000,Mid-level,Full-time,Remote,United States,M
Data Science and Research,60000,Mid-level,Full-time,In-person,United States,M
Data Science and Research,55000,Mid-level,Full-time,In-person,United States,M
Data Engineering,250000,Mid-level,Full-time,In-person,United States,M
Data Engineering,125000,Mid-level,Full-time,In-person,United States,M
Machine Learning and AI,190000,Senior,Full-time,Remote,United States,M
Machine Learning and AI,170000,Senior,Full-time,Remote,United States,M
Data Science and Research,202600,Senior,Full-time,Remote,United States,M
Data Science and Research,168800,Senior,Full-time,Remote,United States,M
Data Engineering,132000,Mid-level,Full-time,Remote,United States,M
Data Engineering,111000,Mid-level,Full-time,Remote,United States,M
Data Science and Research,203000,Senior,Full-time,Remote,United States,M
Data Science and Research,127000,Senior,Full-time,Remote,United States,M
BI and Visualization,125009,Mid-level,Full-time,Remote,United States,M
BI and Visualization,83339,Mid-level,Full-time,Remote,United States,M
Data Analysis,112200,Senior,Full-time,Remote,United States,M
Data Analysis,91800,Senior,Full-time,Remote,United States,M
Machine Learning and AI,200000,Senior,Full-time,In-person,United States,M
Machine Learning and AI,160000,Senior,Full-time,In-person,United States,M
Data Engineering,160000,Mid-level,Full-time,In-person,United States,M
Data Science and Research,133000,Entry-level,Part-time,In-person,United States,M
Data Science and Research,58300,Entry-level,Part-time,In-person,United States,M
Data Engineering,254000,Senior,Full-time,In-person,United States,M
Data Engineering,159000,Senior,Full-time,In-person,United States,M
Data Engineering,170000,Senior,Full-time,In-person,United States,M
Data Engineering,85000,Senior,Full-time,In-person,United States,M
Data Science and Research,130500,Mid-level,Full-time,In-person,United States,M
Data Science and Research,116000,Mid-level,Full-time,In-person,United States,M
Data Science and Research,81400,Entry-level,Full-time,Remote,United States,M
Data Science and Research,43500,Entry-level,Full-time,Remote,United States,M
Data Engineering,169000,Mid-level,Full-time,In-person,United States,M
Data Engineering,92000,Mid-level,Full-time,In-person,United States,M
Data Analysis,166000,Senior,Full-time,In-person,United States,M
Data Analysis,73100,Senior,Full-time,In-person,United States,M
Data Science and Research,190000,Senior,Full-time,In-person,United States,M
Data Science and Research,165000,Senior,Full-time,In-person,United States,M
Machine Learning and AI,305600,Senior,Full-time,In-person,United States,M
Machine Learning and AI,146600,Senior,Full-time,In-person,United States,M
Data Analysis,150000,Senior,Full-time,In-person,United States,M
Data Analysis,120000,Senior,Full-time,In-person,United States,M
Data Engineering,275000,Senior,Full-time,In-person,United States,M
Data Engineering,146400,Senior,Full-time,In-person,United States,M
Data Science and Research,208500,Senior,Full-time,In-person,United States,M
Data Science and Research,258700,Senior,Full-time,In-person,United States,M
Data Science and Research,172500,Senior,Full-time,In-person,United States,M
Data Engineering,185000,Senior,Full-time,Remote,United States,M
BI and Visualization,198200,Senior,Full-time,In-person,United States,M
BI and Visualization,110200,Senior,Full-time,In-person,United States,M
Machine Learning and AI,166000,Senior,Full-time,In-person,United States,M
Machine Learning and AI,73100,Senior,Full-time,In-person,United States,M
Machine Learning and AI,212000,Senior,Full-time,In-person,United States,M
Machine Learning and AI,93300,Senior,Full-time,In-person,United States,M
Data Engineering,166000,Senior,Full-time,In-person,United States,M
Data Engineering,73100,Senior,Full-time,In-person,United States,M
Data Engineering,167100,Mid-level,Full-time,In-person,United States,M
Data Engineering,111400,Mid-level,Full-time,In-person,United States,M
Data Science and Research,166000,Entry-level,Full-time,Remote,United States,M
Data Science and Research,73100,Entry-level,Full-time,Remote,United States,M
Data Analysis,170000,Executive,Full-time,In-person,United States,M
Data Analysis,145000,Executive,Full-time,In-person,United States,M
Data Architecture and Modeling,170000,Senior,Full-time,Remote,United States,M
Data Architecture and Modeling,135000,Senior,Full-time,Remote,United States,M
Data Engineering,139810,Senior,Full-time,In-person,United States,M
Data Engineering,95325,Senior,Full-time,In-person,United States,M
Data Science and Research,278700,Senior,Full-time,In-person,United States,M
Data Science and Research,159300,Senior,Full-time,In-person,United States,M
Data Engineering,247300,Senior,Full-time,Remote,United States,M
Data Engineering,139700,Senior,Full-time,Remote,United States,M
Data Science and Research,188000,Senior,Full-time,Remote,United States,M
Data Science and Research,139000,Senior,Full-time,Remote,United States,M
Data Engineering,160000,Senior,Full-time,In-person,United States,M
Data Engineering,94000,Senior,Full-time,In-person,United States,M
Leadership and Management,127000,Mid-level,Full-time,Remote,United States,M
Leadership and Management,65000,Mid-level,Full-time,Remote,United States,M
Machine Learning and AI,276000,Senior,Full-time,In-person,United States,M
Machine Learning and AI,174000,Senior,Full-time,In-person,United States,M
Data Science and Research,260000,Senior,Full-time,In-person,United States,L
Data Science and Research,136000,Senior,Full-time,In-person,United States,L
Leadership and Management,250000,Executive,Full-time,Remote,United States,M
Leadership and Management,210000,Executive,Full-time,Remote,United States,M
