jobs,salary_in_usd,experience_level,employment_type,work_setting,company_location,company_size
Data Engineering,258900,Senior,Full-time,Remote,United States,M
Data Engineering,176080,Senior,Full-time,Remote,United States,M
BI and Visualization,120000,Mid-level,Full-time,Remote,United States,M
Data Quality and Operations,65000,Mid-level,Full-time,Remote,United States,M
Data Quality and Operations,60000,Mid-level,Full-time,Remote,United States,M
Data Engineering,132100,Senior,Full-time,In-person,United States,M
Data Engineering,68400,Senior,Full-time,In-person,United States,M
BI and Visualization,160000,Senior,Full-time,Remote,United States,M
BI and Visualization,140000,Senior,Full-time,Remote,United States,M
Data Analysis,62500,Mid-level,Full-time,Remote,United States,M
Data Analysis,142000,Senior,Full-time,In-person,United States,M
Data Analysis,128000,Senior,Full-time,In-person,United States,M
Data Science and Research,155000,Senior,Full-time,In-person,United States,M
Data Science and Research,139500,Senior,Full-time,In-person,United States,M
Machine Learning and AI,221000,Senior,Full-time,In-person,United States,M
Machine Learning and AI,129000,Senior,Full-time,In-person,United States,M
Data Engineering,259000,Senior,Full-time,In-person,United States,M
Data Engineering,138750,Senior,Full-time,In-person,United States,M
Data Science and Research,100000,Senior,Full-time,In-person,United States,M
Data Science and Research,182750,Senior,Full-time,In-person,United States,M
Data Science and Research,207000,Senior,Full-time,Remote,United States,M
Data Science and Research,141000,Senior,Full-time,Remote,United States,M
Data Science and Research,90000,Mid-level,Full-time,In-person,United States,M
Machine Learning and AI,36000,Entry-level,Full-time,Remote,United States,M
Data Science and Research,300000,Mid-level,Full-time,In-person,United States,M
Data Analysis,116700,Mid-level,Full-time,In-person,United States,M
Data Analysis,93400,Mid-level,Full-time,In-person,United States,M
Data Analysis,80000,Entry-level,Full-time,In-person,United States,M
Data Analysis,50000,Entry-level,Full-time,In-person,United States,M
Data Science and Research,179000,Mid-level,Full-time,In-person,United States,M
Data Science and Research,176490,Mid-level,Full-time,In-person,United States,M
Data Science and Research,195000,Senior,Full-time,In-person,United States,M
Data Science and Research,143750,Senior,Full-time,In-person,United States,M
Data Science and Research,162000,Mid-level,Full-time,In-person,United States,M
Data Science and Research,199000,Senior,Full-time,In-person,United States,M
Data Science and Research,196760,Senior,Full-time,In-person,United States,M
Data Engineering,222000,Senior,Full-time,In-person,United States,M
Machine Learning and AI,70179,Senior,Full-time,Remote,United States,L
BI and Visualization,110000,Mid-level,Full-time,In-person,United States,M
BI and Visualization,75000,Mid-level,Full-time,In-person,United States,M
Machine Learning and AI,80000,Senior,Full-time,In-person,United States,M
Data Science and Research,130000,Mid-level,Full-time,In-person,United States,M
Data Analysis,126500,Senior,Full-time,Remote,United States,M
Data Analysis,78000,Senior,Full-time,Remote,United States,M
Leadership and Management,250000,Executive,Full-time,In-person,United States,M
Leadership and Management,222000,Executive,Full-time,In-person,United States,M
Data Analysis,120000,Senior,Full-time,Remote,United States,M
Data Science and Research,204500,Mid-level,Full-time,In-person,United States,M
Data Science and Research,142200,Mid-level,Full-time,In-person,United States,M
Data Science and Research,297000,Senior,Full-time,In-person,United States,M
Data Science and Research,138000,Senior,Full-time,In-person,United States,M
Data Analysis,147600,Mid-level,Full-time,In-person,United States,M
Data Analysis,106300,Mid-level,Full-time,In-person,United States,M
Data Science and Research,131250,Senior,Full-time,In-person,United States,M
Data Science and Research,128100,Senior,Full-time,In-person,United States,M
Data Engineering,174500,Executive,Full-time,Remote,United States,M
Data Engineering,113000,Executive,Full-time,Remote,United States,M
Data Analysis,56500,Entry-level,Full-time,Hybrid,United States,L
Data Science and Research,227000,Senior,Full-time,Remote,United States,M
Data Science and Research,185000,Senior,Full-time,Remote,United States,M
Machine Learning and AI,230000,Mid-level,Full-time,In-person,United States,M
Machine Learning and AI,160000,Mid-level,Full-time,In-person,United States,M
Data Engineering,138300,Senior,Full-time,In-person,United States,M
Data Engineering,110700,Senior,Full-time,In-person,United States,M
BI and Visualization,130000,Senior,Full-time,In-person,United States,M
BI and Visualization,80000,Senior,Full-time,In-person,United States,M
Data Engineering,212175,Senior,Full-time,Remote,United States,M
Data Engineering,156000,Senior,Full-time,Remote,United States,M
Data Analysis,111151,Mid-level,Full-time,Remote,United States,M
Data Analysis,66691,Mid-level,Full-time,Remote,United States,M
Data Science and Research,138700,Senior,Full-time,In-person,United States,M
Data Analysis,95040,Senior,Full-time,Remote,United States,M
Data Analysis,59400,Senior,Full-time,Remote,United States,M
Machine Learning and AI,197802,Senior,Full-time,Remote,United States,M
Machine Learning and AI,156453,Senior,Full-time,Remote,United States,M
Data Science and Research,144000,Senior,Full-time,In-person,United States,M
Data Quality and Operations,172000,Senior,Full-time,In-person,United States,M
Data Quality and Operations,140000,Senior,Full-time,In-person,United States,M
Data Engineering,122400,Senior,Full-time,Remote,United States,M
Data Science and Research,80000,Mid-level,Full-time,In-person,United States,M
Data Science and Research,70000,Mid-level,Full-time,In-person,United States,M
Data Analysis,90000,Senior,Full-time,In-person,United States,M
Data Engineering,227500,Senior,Full-time,Remote,United States,M
Data Engineering,147500,Senior,Full-time,Remote,United States,M
Machine Learning and AI,150000,Mid-level,Full-time,Remote,United States,M
Machine Learning and AI,50000,Mid-level,Full-time,Remote,United States,M
Data Engineering,190000,Mid-level,Full-time,Remote,United States,M
Data Engineering,130000,Mid-level,Full-time,Remote,United States,M
Data Engineering,150000,Mid-level,Full-time,Remote,United States,M
Data Engineering,50000,Mid-level,Full-time,Remote,United States,M
Leadership and Management,172200,Mid-level,Full-time,Remote,United States,M
Leadership and Management,131200,Mid-level,Full-time,Remote,United States,M
Data Management and Strategy,250000,Senior,Full-time,Remote,United States,M
Data Management and Strategy,100000,Senior,Full-time,Remote,United States,M
Data Engineering,165000,Senior,Full-time,Remote,United States,M
Data Analysis,155000,Senior,Full-time,In-person,United States,M
Data Analysis,280000,Senior,Full-time,In-person,United States,M
Data Analysis,200000,Senior,Full-time,In-person,United States,M
Data Science and Research,290000,Senior,Full-time,In-person,United States,M
Data Science and Research,173200,Senior,Full-time,In-person,United States,M
Data Science and Research,235000,Senior,Full-time,Remote,United States,M
Data Science and Research,204000,Senior,Full-time,Remote,United States,M
Machine Learning and AI,222000,Senior,Full-time,In-person,United States,M
Machine Learning and AI,287500,Senior,Full-time,In-person,United States,M
Machine Learning and AI,212500,Senior,Full-time,In-person,United States,M
Machine Learning and AI,190027,Senior,Full-time,In-person,United States,M
Machine Learning and AI,152022,Senior,Full-time,In-person,United States,M
Machine Learning and AI,198000,Senior,Full-time,Remote,United States,M
Machine Learning and AI,132000,Senior,Full-time,Remote,United States,M
BI and Visualization,125000,Senior,Full-time,Remote,United States,M
BI and Visualization,115000,Senior,Full-time,Remote,United States,M
Leadership and Management,130000,Senior,Full-time,In-person,United States,M
Machine Learning and AI,170700,Senior,Full-time,In-person,United States,M
Machine Learning and AI,113900,Senior,Full-time,In-person,United States,M
Data Engineering,185000,Senior,Full-time,In-person,United States,L
Data Engineering,81000,Senior,Full-time,In-person,United States,L
Data Science and Research,123000,Senior,Full-time,In-person,United States,M
Leadership and Management,80000,Executive,Full-time,In-person,United States,M
Leadership and Management,75000,Executive,Full-time,In-person,United States,M
Data Analysis,53000,Mid-level,Full-time,Remote,United States,M
Data Analysis,48000,Mid-level,Full-time,Remote,United States,M
Data Science and Research,125000,Mid-level,Full-time,In-person,United States,M
Data Engineering,190000,Senior,Full-time,In-person,United States,M
Data Engineering,115000,Mid-level,Full-time,Remote,United States,M
Machine Learning and AI,194000,Senior,Full-time,In-person,United States,M
Machine Learning and AI,175000,Senior,Full-time,In-person,United States,M
Data Analysis,185000,Senior,Full-time,In-person,United States,M
Data Analysis,160000,Senior,Full-time,In-person,United States,M
Data Engineering,185000,Senior,Full-time,In-person,United States,M
Data Engineering,50000,Senior,Full-time,In-person,United States,M
Leadership and Management,70000,Executive,Full-time,In-person,United States,M
Data Engineering,130916,Entry-level,Full-time,In-person,United States,M
Data Engineering,120000,Entry-level,Full-time,In-person,United States,M
Data Science and Research,218213,Senior,Full-time,Remote,United States,M
Data Science and Research,178538,Senior,Full-time,Remote,United States,M
Data Science and Research,202000,Senior,Full-time,In-person,United States,M
Data Science and Research,189750,Senior,Full-time,Remote,United States,M
Data Science and Research,119213,Senior,Full-time,Remote,United States,M
Leadership and Management,162000,Senior,Full-time,In-person,United States,M
BI and Visualization,170200,Senior,Full-time,In-person,United States,M
BI and Visualization,83900,Senior,Full-time,In-person,United States,M
Machine Learning and AI,250944,Senior,Full-time,Remote,United States,M
Machine Learning and AI,205318,Senior,Full-time,Remote,United States,M
Data Engineering,125000,Senior,Full-time,In-person,United States,M
Data Science and Research,135000,Senior,Full-time,In-person,United States,M
Data Science and Research,114000,Senior,Full-time,In-person,United States,M
Data Science and Research,240000,Senior,Full-time,In-person,United States,M
Data Science and Research,163200,Senior,Full-time,In-person,United States,M
Machine Learning and AI,258800,Senior,Full-time,In-person,United States,M
Machine Learning and AI,199200,Senior,Full-time,In-person,United States,M
Data Science and Research,215625,Senior,Full-time,Remote,United States,M
Data Science and Research,159375,Senior,Full-time,Remote,United States,M
Data Science and Research,203000,Senior,Full-time,In-person,United States,M
Data Science and Research,133000,Senior,Full-time,In-person,United States,M
Data Science and Research,272400,Senior,Full-time,In-person,United States,L
Data Science and Research,140100,Senior,Full-time,In-person,United States,L
Data Engineering,282000,Senior,Full-time,In-person,United States,M
Data Engineering,208000,Senior,Full-time,In-person,United States,M
Data Analysis,93919,Senior,Full-time,Remote,United States,M
Data Analysis,51962,Senior,Full-time,Remote,United States,M
Data Science and Research,211000,Senior,Full-time,Remote,United States,M
BI and Visualization,118800,Senior,Full-time,Remote,United States,M
BI and Visualization,75000,Senior,Full-time,Remote,United States,M
Machine Learning and AI,159350,Senior,Full-time,In-person,United States,M
Machine Learning and AI,130100,Senior,Full-time,In-person,United States,M
Data Science and Research,262000,Senior,Full-time,Remote,United States,M
Data Science and Research,245000,Senior,Full-time,Remote,United States,M
Leadership and Management,205218,Senior,Full-time,In-person,United States,M
Leadership and Management,136743,Senior,Full-time,In-person,United States,M
Data Science and Research,185000,Senior,Full-time,In-person,United States,L
Data Science and Research,94600,Senior,Full-time,In-person,United States,L
Data Science and Research,107000,Senior,Full-time,In-person,United States,M
Machine Learning and AI,264400,Senior,Full-time,Remote,United States,M
Machine Learning and AI,176300,Senior,Full-time,Remote,United States,M
Data Science and Research,275000,Senior,Full-time,In-person,United States,M
Data Science and Research,175000,Senior,Full-time,In-person,United States,M
Machine Learning and AI,76000,Entry-level,Full-time,In-person,United States,L
BI and Visualization,150000,Mid-level,Full-time,In-person,United States,M
BI and Visualization,125000,Mid-level,Full-time,In-person,United States,M
Data Engineering,210000,Senior,Full-time,In-person,United States,M
Data Science and Research,169500,Senior,Full-time,Remote,United States,M
Data Science and Research,138000,Senior,Full-time,Remote,United States,M
Machine Learning and AI,180000,Mid-level,Full-time,In-person,United States,M
Machine Learning and AI,120000,Mid-level,Full-time,In-person,United States,M
Data Science and Research,204500,Senior,Full-time,In-person,United States,M
Data Science and Research,138900,Senior,Full-time,In-person,United States,M
Leadership and Management,110400,Senior,Full-time,In-person,United States,M
Leadership and Management,68000,Senior,Full-time,In-person,United States,M
Data Science and Research,260600,Mid-level,Full-time,In-person,United States,M
Data Management and Strategy,63750,Entry-level,Full-time,Remote,United States,M
Data Management and Strategy,46400,Entry-level,Full-time,Remote,United States,M
Data Science and Research,214872,Senior,Full-time,Remote,United States,M
Data Science and Research,186846,Senior,Full-time,Remote,United States,M
Data Analysis,95000,Mid-level,Full-time,In-person,United States,M
Data Analysis,70600,Mid-level,Full-time,In-person,United States,M
Data Analysis,149500,Mid-level,Full-time,Remote,United States,M
Data Analysis,127075,Mid-level,Full-time,Remote,United States,M
Data Engineering,162000,Senior,Full-time,Remote,United States,M
Data Engineering,111000,Senior,Full-time,Remote,United States,M
Machine Learning and AI,280000,Senior,Full-time,Remote,United States,M
Machine Learning and AI,182750,Senior,Full-time,Remote,United States,M
Data Science and Research,196000,Senior,Full-time,In-person,United States,M
Data Science and Research,142600,Senior,Full-time,In-person,United States,M
Data Architecture and Modeling,193000,Senior,Full-time,Remote,United States,M
Data Architecture and Modeling,110000,Senior,Full-time,Remote,United States,M
Data Science and Research,245000,Senior,Full-time,In-person,United States,M
Data Analysis,80000,Senior,Full-time,In-person,United States,M
Data Analysis,70000,Senior,Full-time,In-person,United States,M
Data Engineering,250000,Executive,Full-time,In-person,United States,M
Data Engineering,225000,Executive,Full-time,In-person,United States,M
Data Engineering,205000,Senior,Full-time,In-person,United States,M
Machine Learning and AI,297300,Senior,Full-time,Remote,United States,M
Machine Learning and AI,198200,Senior,Full-time,Remote,United States,M
Machine Learning and AI,156000,Senior,Full-time,Remote,United States,M
Data Science and Research,196500,Senior,Full-time,In-person,United States,M
Data Science and Research,97300,Senior,Full-time,In-person,United States,M
Machine Learning and AI,192000,Senior,Full-time,Remote,United States,M
Machine Learning and AI,164000,Senior,Full-time,Remote,United States,M
Machine Learning and AI,227700,Senior,Full-time,Remote,United States,M
Machine Learning and AI,154836,Senior,Full-time,Remote,United States,M
Machine Learning and AI,285000,Mid-level,Full-time,In-person,United States,L
Machine Learning and AI,190000,Mid-level,Full-time,In-person,United States,L
Data Science and Research,270000,Mid-level,Full-time,In-person,United States,L
Data Engineering,214300,Mid-level,Full-time,In-person,United States,M
Data Engineering,108500,Mid-level,Full-time,In-person,United States,M
Data Science and Research,145000,Mid-level,Full-time,Remote,United States,M
Data Science and Research,115000,Mid-level,Full-time,Remote,United States,M
Data Science and Research,113000,Mid-level,Full-time,Remote,United States,M
Data Science and Research,194500,Senior,Full-time,In-person,United States,M
Data Science and Research,110250,Senior,Full-time,In-person,United States,M
Data Science and Research,295000,Senior,Full-time,In-person,United States,M
Data Science and Research,177300,Senior,Full-time,In-person,United States,M
Data Engineering,220000,Entry-level,Full-time,In-person,United States,M
Data Engineering,187000,Entry-level,Full-time,In-person,United States,M
Data Science and Research,249300,Executive,Full-time,In-person,United States,M
Data Analysis,85000,Senior,Full-time,In-person,United States,M
Data Analysis,79000,Senior,Full-time,In-person,United States,M
Data Engineering,131000,Senior,Full-time,In-person,United States,M
Data Science and Research,163000,Senior,Full-time,Remote,United States,M
Data Science and Research,107400,Senior,Full-time,In-person,United States,M
Data Science and Research,101500,Senior,Full-time,In-person,United States,M
Data Architecture and Modeling,175000,Senior,Full-time,Remote,United States,M
Data Science and Research,164000,Senior,Full-time,In-person,United States,M
Data Science and Research,211000,Senior,Full-time,In-person,United States,M
Machine Learning and AI,184000,Senior,Full-time,In-person,United States,M
Data Analysis,115000,Mid-level,Full-time,Remote,United States,M
Data Analysis,167000,Senior,Full-time,In-person,United States,M
Data Engineering,144000,Senior,Full-time,In-person,United States,M
Data Engineering,96000,Senior,Full-time,In-person,United States,M
Leadership and Management,145000,Senior,Full-time,Remote,United States,M
Leadership and Management,116000,Senior,Full-time,Remote,United States,M
Data Science and Research,161000,Senior,Full-time,In-person,United States,M
Data Science and Research,116300,Senior,Full-time,In-person,United States,M
Data Analysis,140000,Senior,Full-time,In-person,United States,M
Data Analysis,125000,Senior,Full-time,In-person,United States,M
Data Architecture and Modeling,175564,Senior,Full-time,Remote,United States,M
Data Architecture and Modeling,144854,Senior,Full-time,Remote,United States,M
Machine Learning and AI,225000,Senior,Full-time,In-person,United States,M
Leadership and Management,190000,Senior,Full-time,In-person,United States,M
Leadership and Management,150000,Senior,Full-time,In-person,United States,M
Data Science and Research,151300,Senior,Full-time,Remote,United States,M
Data Science and Research,126100,Senior,Full-time,Remote,United States,M
Machine Learning and AI,150000,Senior,Full-time,In-person,United States,M
Data Analysis,180000,Executive,Full-time,Remote,United States,M
Data Analysis,125000,Executive,Full-time,Remote,United States,M
BI and Visualization,113000,Senior,Full-time,In-person,United States,M
BI and Visualization,90400,Senior,Full-time,In-person,United States,M
BI and Visualization,204300,Senior,Full-time,In-person,United States,M
BI and Visualization,139000,Senior,Full-time,In-person,United States,M
Data Engineering,124000,Senior,Full-time,In-person,United States,M
Data Science and Research,157000,Senior,Full-time,In-person,United States,M
Machine Learning and AI,212800,Senior,Full-time,In-person,United States,L
Machine Learning and AI,111600,Senior,Full-time,In-person,United States,L
Data Architecture and Modeling,183000,Senior,Full-time,In-person,United States,M
Data Architecture and Modeling,147000,Senior,Full-time,In-person,United States,M
Data Engineering,169000,Senior,Full-time,In-person,United States,M
Data Engineering,91000,Senior,Full-time,In-person,United States,M
Data Architecture and Modeling,210000,Senior,Full-time,In-person,United States,M
Data Architecture and Modeling,160000,Senior,Full-time,In-person,United States,M
Data Analysis,70900,Mid-level,Full-time,In-person,United States,M
Data Architecture and Modeling,193000,Senior,Full-time,In-person,United States,M
Data Architecture and Modeling,128000,Senior,Full-time,In-person,United States,M
Data Engineering,174500,Executive,Full-time,In-person,United States,M
Data Engineering,113000,Executive,Full-time,In-person,United States,M
Data Analysis,80000,Senior,Full-time,Remote,United States,M
Data Engineering,145000,Senior,Full-time,Remote,United States,M
Data Engineering,115000,Senior,Full-time,Remote,United States,M
Data Science and Research,202000,Senior,Full-time,Remote,United States,M
Data Science and Research,127500,Senior,Full-time,Remote,United States,M
Data Analysis,145500,Senior,Full-time,In-person,United States,M
Data Analysis,108000,Senior,Full-time,In-person,United States,M
Data Engineering,206000,Senior,Full-time,Remote,United States,M
Data Engineering,175100,Senior,Full-time,Remote,United States,M
Data Analysis,122500,Senior,Full-time,Remote,United States,M
Data Analysis,82500,Senior,Full-time,Remote,United States,M
Data Analysis,95000,Senior,Full-time,In-person,United States,M
Data Analysis,130000,Mid-level,Full-time,In-person,United States,M
Data Science and Research,217000,Mid-level,Full-time,In-person,United States,M
Data Science and Research,192000,Mid-level,Full-time,In-person,United States,M
Data Management and Strategy,90000,Senior,Full-time,In-person,United States,M
Data Management and Strategy,60000,Senior,Full-time,In-person,United States,M
Machine Learning and AI,168000,Senior,Full-time,In-person,United States,M
Data Science and Research,234900,Senior,Full-time,In-person,United States,M
Data Science and Research,113500,Senior,Full-time,In-person,United States,M
Data Engineering,245000,Senior,Full-time,In-person,United States,M
Data Engineering,255000,Senior,Full-time,In-person,United States,M
Data Engineering,202500,Senior,Full-time,In-person,United States,M
Data Engineering,177500,Senior,Full-time,In-person,United States,M
Data Engineering,150000,Senior,Full-time,In-person,United States,M
Data Architecture and Modeling,155000,Senior,Full-time,Remote,United States,L
Data Architecture and Modeling,130000,Senior,Full-time,Remote,United States,L
Machine Learning and AI,170200,Senior,Full-time,In-person,United States,M
Machine Learning and AI,83900,Senior,Full-time,In-person,United States,M
Data Engineering,213600,Senior,Full-time,In-person,United States,M
Data Engineering,103200,Senior,Full-time,In-person,United States,M
Data Science and Research,250000,Mid-level,Full-time,In-person,United States,M
Data Analysis,88000,Senior,Full-time,Remote,United States,M
Machine Learning and AI,158000,Senior,Full-time,Remote,United States,M
Machine Learning and AI,108000,Senior,Full-time,Remote,United States,M
Data Architecture and Modeling,306000,Senior,Full-time,Remote,United States,M
Data Architecture and Modeling,204000,Senior,Full-time,Remote,United States,M
Leadership and Management,270000,Executive,Full-time,Remote,United States,M
Leadership and Management,200000,Executive,Full-time,Remote,United States,M
Data Engineering,188600,Senior,Full-time,In-person,United States,M
Data Engineering,111550,Senior,Full-time,In-person,United States,M
Data Engineering,129100,Senior,Full-time,In-person,United States,M
Data Engineering,111400,Senior,Full-time,In-person,United States,M
Data Analysis,135000,Senior,Full-time,Remote,United States,M
Machine Learning and AI,242921,Senior,Full-time,In-person,United States,M
Machine Learning and AI,170045,Senior,Full-time,In-person,United States,M
Data Architecture and Modeling,175000,Senior,Full-time,In-person,United States,M
Data Architecture and Modeling,90000,Senior,Full-time,In-person,United States,M
Data Science and Research,156450,Entry-level,Full-time,In-person,United States,M
Data Science and Research,119200,Entry-level,Full-time,In-person,United States,M
Data Science and Research,154800,Mid-level,Full-time,In-person,United States,M
Data Science and Research,76300,Mid-level,Full-time,In-person,United States,M
Data Science and Research,178600,Senior,Full-time,In-person,United States,M
Data Science and Research,88600,Senior,Full-time,In-person,United States,M
Data Science and Research,207345,Senior,Full-time,Remote,United States,M
Data Science and Research,180300,Senior,Full-time,Remote,United States,M
Leadership and Management,205000,Senior,Full-time,In-person,United States,M
Leadership and Management,167500,Senior,Full-time,In-person,United States,M
Data Science and Research,228045,Senior,Full-time,Remote,United States,M
Data Science and Research,198300,Senior,Full-time,Remote,United States,M
Data Engineering,140000,Senior,Full-time,Remote,United States,M
BI and Visualization,100000,Mid-level,Full-time,In-person,United States,M
Data Architecture and Modeling,140000,Senior,Full-time,In-person,United States,M
Data Architecture and Modeling,100000,Senior,Full-time,In-person,United States,M
Leadership and Management,125000,Mid-level,Full-time,In-person,United States,M
BI and Visualization,127000,Senior,Full-time,In-person,United States,M
BI and Visualization,99000,Senior,Full-time,In-person,United States,M
Data Engineering,120000,Mid-level,Full-time,Remote,United States,M
BI and Visualization,194500,Senior,Full-time,Remote,United States,M
BI and Visualization,132320,Senior,Full-time,Remote,United States,M
Data Analysis,223602,Senior,Full-time,In-person,United States,M
Data Analysis,143520,Senior,Full-time,In-person,United States,M
Data Engineering,140000,Mid-level,Full-time,Remote,United States,M
Data Engineering,154000,Senior,Full-time,In-person,United States,M
Data Engineering,103000,Senior,Full-time,In-person,United States,M
Data Analysis,90000,Senior,Full-time,Remote,United States,M
Leadership and Management,140000,Executive,Full-time,In-person,United States,M
Leadership and Management,100000,Executive,Full-time,In-person,United States,M
Data Science and Research,296100,Senior,Full-time,In-person,United States,M
Data Science and Research,144500,Senior,Full-time,In-person,United States,M
Data Analysis,118600,Senior,Full-time,In-person,United States,M
Data Analysis,96800,Senior,Full-time,In-person,United States,M
Data Science and Research,100000,Entry-level,Full-time,Remote,United States,M
Data Analysis,142000,Mid-level,Full-time,In-person,United States,M
Data Analysis,128000,Mid-level,Full-time,In-person,United States,M
Data Engineering,99500,Senior,Full-time,In-person,United States,M
Data Engineering,53300,Senior,Full-time,In-person,United States,M
Data Engineering,165000,Senior,Full-time,In-person,United States,M
Data Science and Research,172000,Senior,Full-time,In-person,United States,M
Data Engineering,250000,Senior,Full-time,In-person,United States,M
Data Architecture and Modeling,234900,Senior,Full-time,In-person,United States,M
Data Architecture and Modeling,68400,Senior,Full-time,In-person,United States,M
Data Science and Research,139000,Senior,Full-time,In-person,United States,M
Data Analysis,139600,Senior,Full-time,In-person,United States,M
Data Analysis,85700,Senior,Full-time,In-person,United States,M
Data Engineering,143000,Senior,Full-time,In-person,United States,M
Data Engineering,95000,Senior,Full-time,In-person,United States,M
Machine Learning and AI,188000,Senior,Full-time,Remote,United States,M
Data Analysis,145000,Senior,Full-time,Remote,United States,M
Data Analysis,106000,Senior,Full-time,Remote,United States,M
Data Engineering,269100,Senior,Full-time,In-person,United States,M
Data Engineering,131300,Senior,Full-time,In-person,United States,M
Machine Learning and AI,220000,Senior,Full-time,Remote,United States,M
Data Science and Research,252990,Mid-level,Full-time,Remote,United States,M
Data Science and Research,162170,Mid-level,Full-time,Remote,United States,M
Machine Learning and AI,260000,Senior,Full-time,Remote,United States,M
Machine Learning and AI,235000,Senior,Full-time,Remote,United States,M
Data Science and Research,212800,Senior,Full-time,Remote,United States,M
Data Science and Research,111600,Senior,Full-time,Remote,United States,M
Data Analysis,130000,Senior,Full-time,Remote,United States,M
BI and Visualization,194521,Senior,Full-time,In-person,United States,M
BI and Visualization,176838,Senior,Full-time,In-person,United States,M
Leadership and Management,200000,Executive,Full-time,In-person,United States,M
Leadership and Management,170000,Executive,Full-time,In-person,United States,M
Data Science and Research,191765,Senior,Full-time,In-person,United States,M
Data Science and Research,134236,Senior,Full-time,In-person,United States,M
Data Science and Research,198800,Senior,Full-time,In-person,United States,M
Data Science and Research,90700,Senior,Full-time,In-person,United States,M
BI and Visualization,154800,Mid-level,Full-time,In-person,United States,M
BI and Visualization,76300,Mid-level,Full-time,In-person,United States,M
Leadership and Management,130000,Mid-level,Full-time,Remote,United States,M
Leadership and Management,115000,Mid-level,Full-time,Remote,United States,M
Machine Learning and AI,200000,Mid-level,Full-time,In-person,United States,M
Data Architecture and Modeling,155000,Senior,Full-time,Remote,United States,M
Leadership and Management,115500,Mid-level,Full-time,In-person,United States,M
Leadership and Management,73500,Mid-level,Full-time,In-person,United States,M
Data Science and Research,179000,Senior,Full-time,In-person,United States,M
Data Science and Research,109000,Senior,Full-time,In-person,United States,M
Data Science and Research,233300,Senior,Full-time,In-person,United States,M
Data Science and Research,155500,Senior,Full-time,In-person,United States,M
Data Science and Research,306000,Senior,Full-time,In-person,United States,M
Data Science and Research,115100,Senior,Full-time,In-person,United States,L
Data Analysis,117500,Senior,Full-time,Remote,United States,M
Data Analysis,86720,Senior,Full-time,Remote,United States,M
Data Analysis,150000,Mid-level,Full-time,In-person,United States,M
Data Analysis,90000,Executive,Full-time,Remote,United States,M
Data Analysis,70000,Executive,Full-time,Remote,United States,M
Data Science and Research,212800,Senior,Full-time,Remote,United States,L
Data Science and Research,111600,Senior,Full-time,Remote,United States,L
BI and Visualization,135000,Senior,Full-time,Remote,United States,M
BI and Visualization,110000,Senior,Full-time,Remote,United States,M
Machine Learning and AI,175000,Senior,Full-time,Remote,United States,M
Machine Learning and AI,208450,Senior,Full-time,In-person,United States,M
Machine Learning and AI,151600,Senior,Full-time,In-person,United States,M
Data Science and Research,159000,Senior,Full-time,In-person,United States,M
Data Science and Research,155000,Mid-level,Full-time,Remote,United States,M
Data Science and Research,135000,Mid-level,Full-time,Remote,United States,M
Data Engineering,223250,Senior,Full-time,In-person,United States,M
Data Engineering,156275,Senior,Full-time,In-person,United States,M
Data Engineering,220000,Senior,Full-time,In-person,United States,M
Leadership and Management,245000,Senior,Full-time,Remote,United States,M
Leadership and Management,185000,Senior,Full-time,Remote,United States,M
Data Analysis,67500,Mid-level,Full-time,In-person,United States,M
Data Analysis,46500,Mid-level,Full-time,In-person,United States,M
Machine Learning and AI,270000,Senior,Full-time,Remote,United States,M
Machine Learning and AI,232200,Senior,Full-time,Remote,United States,M
Data Analysis,78000,Mid-level,Full-time,In-person,United States,M
Machine Learning and AI,178200,Senior,Full-time,Remote,United States,M
Machine Learning and AI,115000,Senior,Full-time,Remote,United States,M
Data Science and Research,204000,Mid-level,Full-time,In-person,United States,M
Data Engineering,143000,Mid-level,Full-time,In-person,United States,M
Data Engineering,95000,Mid-level,Full-time,In-person,United States,M
Data Science and Research,156400,Senior,Full-time,In-person,United States,M
Data Science and Research,253430,Senior,Full-time,In-person,United States,M
Data Science and Research,212780,Senior,Full-time,In-person,United States,M
Machine Learning and AI,265800,Senior,Full-time,Remote,United States,M
Machine Learning and AI,165500,Senior,Full-time,Remote,United States,M
Data Engineering,193000,Senior,Full-time,Remote,United States,M
Data Engineering,134000,Senior,Full-time,Remote,United States,M
Machine Learning and AI,180000,Senior,Full-time,Remote,United States,M
Leadership and Management,120681,Mid-level,Full-time,Remote,United States,M
Leadership and Management,72409,Mid-level,Full-time,Remote,United States,M
Machine Learning and AI,139750,Senior,Full-time,Remote,United States,M
Data Engineering,254000,Senior,Full-time,Remote,United States,M
Data Science and Research,272290,Senior,Full-time,Remote,United States,M
Data Science and Research,169374,Senior,Full-time,Remote,United States,M
Data Science and Research,195000,Senior,Full-time,Remote,United States,L
Data Science and Research,142200,Senior,Full-time,In-person,United States,M
Data Engineering,181500,Senior,Full-time,In-person,United States,M
Data Engineering,112200,Senior,Full-time,In-person,United States,M
Machine Learning and AI,100000,Mid-level,Full-time,Remote,United States,M
Machine Learning and AI,250500,Senior,Full-time,In-person,United States,M
Machine Learning and AI,166600,Senior,Full-time,In-person,United States,M
Machine Learning and AI,247500,Senior,Full-time,In-person,United States,M
Machine Learning and AI,172200,Senior,Full-time,In-person,United States,M
Data Science and Research,223290,Senior,Full-time,In-person,United States,M
